Team,Venue,Year,HR,State,County,Fahrenheit
Nationals,Nationals Park,2011,111,"Washington, D.C.","Washington, D.C.",71.7
Nationals,Nationals Park,2012,101,"Washington, D.C.","Washington, D.C.",71.2
Nationals,Nationals Park,2013,78,"Washington, D.C.","Washington, D.C.",69.3
Nationals,Nationals Park,2014,70,"Washington, D.C.","Washington, D.C.",69.3
Nationals,Nationals Park,2015,106,"Washington, D.C.","Washington, D.C.",71.2
Nationals,Nationals Park,2016,103,"Washington, D.C.","Washington, D.C.",70.8
Nationals,Nationals Park,2017,102,"Washington, D.C.","Washington, D.C.",70.3
Nationals,Nationals Park,2018,120,"Washington, D.C.","Washington, D.C.",71.1
Nationals,Nationals Park,2019,121,"Washington, D.C.","Washington, D.C.",72.3
Nationals,Nationals Park,2020,87,"Washington, D.C.","Washington, D.C.",69.4
Nationals,Nationals Park,2021,110,"Washington, D.C.","Washington, D.C.",70.5
Nationals,Nationals Park,2022,114,"Washington, D.C.","Washington, D.C.",70.1
Brewers,Milwaukee County Stadium,1999,101,Wisconsin,Milwaukee,63.2
Brewers,Milwaukee County Stadium,2000,74,Wisconsin,Milwaukee,61.5
Brewers,American Family Field,2002,96,Wisconsin,Milwaukee,62.8
Brewers,American Family Field,2003,134,Wisconsin,Milwaukee,60.9
Brewers,American Family Field,2004,94,Wisconsin,Milwaukee,60.8
Brewers,American Family Field,2005,112,Wisconsin,Milwaukee,64.1
Brewers,American Family Field,2006,105,Wisconsin,Milwaukee,62.9
Brewers,American Family Field,2007,112,Wisconsin,Milwaukee,62.9
Brewers,American Family Field,2008,87,Wisconsin,Milwaukee,61.6
Brewers,American Family Field,2009,106,Wisconsin,Milwaukee,60.6
Brewers,American Family Field,2010,123,Wisconsin,Milwaukee,64.7
Brewers,American Family Field,2011,111,Wisconsin,Milwaukee,61.7
Brewers,American Family Field,2012,158,Wisconsin,Milwaukee,64.4
Brewers,American Family Field,2013,120,Wisconsin,Milwaukee,61.3
Brewers,American Family Field,2014,119,Wisconsin,Milwaukee,60.4
Brewers,American Family Field,2015,134,Wisconsin,Milwaukee,61.7
Brewers,American Family Field,2016,113,Wisconsin,Milwaukee,63.5
Brewers,American Family Field,2017,109,Wisconsin,Milwaukee,62.6
Brewers,American Family Field,2018,108,Wisconsin,Milwaukee,62.1
Brewers,American Family Field,2019,105,Wisconsin,Milwaukee,62.2
Brewers,American Family Field,2020,113,Wisconsin,Milwaukee,62.6
Brewers,American Family Field,2021,103,Wisconsin,Milwaukee,64.7
Brewers,American Family Field,2022,117,Wisconsin,Milwaukee,63
